"Symbol","Description","IPO Date","Category2","Category3","GICS Sector","Market cap","Dividend yield","Country","Action"
"ICE","Intercontinental Exchange Inc","11/16/2005","Common stocks","Large cap","Financials","$53,945,910,969","1.61%","USA","Analyze"
"KLAC","KLA-Tencor Corporation","02/22/2001","Common stocks","Large cap","Information Technology","$53,842,317,041","1.27%","USA","Analyze"
"USB","US Bancorp","03/12/2001","Common stocks","Large cap","Financials","$53,704,540,045","5.28%","USA","Analyze"
"CCI","Crown Castle International Corp.","01/02/2001","REITs","Large cap","Real Estate","$53,637,889,883","4.83%","USA","Analyze"
"MNST","Monster Beverage Corp","08/17/1995","Common stocks","Large cap","Consumer Staples","$53,489,494,166","0.00%","USA","Analyze"
"MCO","Moodys Corp","08/07/2001","Common stocks","Large cap","Financials","$53,215,813,723","0.98%","USA","Analyze"
"OXY","Occidental Petroleum Corp","03/01/2001","Common stocks","Large cap","Energy","$52,636,236,701","0.97%","USA","Analyze"
"ANET","Arista Networks Inc","06/06/2014","Common stocks","Large cap","Information Technology","$51,900,314,096","0.00%","USA","Analyze"
"VMW","VMWare Inc Class A","08/14/2007","Common stocks","Large cap","Information Technology","$50,651,281,947","0.00%","USA","Analyze"
"HSY","Hershey Foods","02/21/2001","Common stocks","Large cap","Consumer Staples","$50,035,418,400","1.63%","USA","Analyze"
"PSA","Public Storage","03/05/2001","REITs","Large cap","Real Estate","$49,616,475,633","3.13%","USA","Analyze"
"FTNT","Fortinet Inc","11/18/2009","Common stocks","Large cap","Information Technology","$49,592,192,779","0.00%","USA","Analyze"
"ORLY","Oreilly Automotive Inc","08/03/2001","Common stocks","Large cap","Consumer Discretionary","$49,551,901,837","0.00%","USA","Analyze"
"MAR","Marriott International Inc","02/26/2001","Common stocks","Large cap","Consumer Discretionary","$49,293,223,017","0.87%","USA","Analyze"
"PNC","PNC Financial Services Group, Inc.","03/02/2001","Common stocks","Large cap","Financials","$48,813,182,079","4.84%","USA","Analyze"
"GIS","General Mills Inc","02/21/2001","Common stocks","Large cap","Consumer Staples","$48,436,520,402","2.57%","USA","Analyze"
"VLO","Valero Energy Corp","03/12/2001","Common stocks","Large cap","Energy","$48,390,645,998","3.00%","USA","Analyze"
"EW","Edwards Lifesciences Corp","03/27/2000","Common stocks","Large cap","Health Care","$48,215,275,206","0.00%","USA","Analyze"
"KDP","Keurig Dr Pepper Inc.","07/15/2013","Common stocks","Large cap","Consumer Staples","$47,973,912,321","2.25%","USA","Analyze"
"BN","Brookfield Corporation Class A Limited Voting Shares","12/30/1983","Common stocks","Large cap","Unknown","$47,971,377,748","2.07%","USA","Analyze"
"EMR","Emerson Electric","02/15/2001","Common stocks","Large cap","Industrials","$47,483,340,000","2.46%","USA","Analyze"
"GM","General Motors","11/18/2010","Common stocks","Large cap","Consumer Discretionary","$47,055,060,005","0.80%","USA","Analyze"
"STZ.B","Constellation Brands Class B","11/14/2013","Common stocks","Large cap","Consumer Staples","$47,016,275,356","1.08%","USA","Analyze"
"APH","Amphenol Corp","11/08/1991","Common stocks","Large cap","Information Technology","$46,605,101,807","1.04%","USA","Analyze"
"MCK","Mckesson Corp","02/27/2001","Common stocks","Large cap","Health Care","$45,988,300,603","0.62%","USA","Analyze"
"KHC","Kraft Heinz","07/06/2015","Common stocks","Large cap","Consumer Staples","$45,839,626,367","4.21%","USA","Analyze"
"NSC","Norfolk Southern Corp","02/28/2001","Common stocks","Large cap","Industrials","$45,424,326,723","2.52%","USA","Analyze"
"DG","Dollar General Corp","11/13/2009","Common stocks","Large cap","Consumer Discretionary","$45,352,147,977","1.08%","USA","Analyze"
"SNOW","Snowflake Inc. Class A","09/14/2020","Common stocks","Large cap","Information Technology","$45,207,312,000","0.00%","USA","Analyze"
"ROP","Roper Technologies Inc","03/06/2001","Common stocks","Large cap","Information Technology","$45,158,704,039","0.60%","USA","Analyze"
